TIGRFAM,ROLE_ID,SubRole,MainRole,Role
TIGR02382,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02383,129,Other,Regulatory functions,Regulatory functions::Other
TIGR02384,94,Toxin production and resistance,Cellular processes,Cellular processes::Toxin production and resistance
TIGR02384,708,Other,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Other
TIGR02385,94,Toxin production and resistance,Cellular processes,Cellular processes::Toxin production and resistance
TIGR02385,708,Other,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Other
TIGR02386,135,DNA-dependent RNA polymerase,Transcription,Transcription::DNA-dependent RNA polymerase
TIGR02388,135,DNA-dependent RNA polymerase,Transcription,Transcription::DNA-dependent RNA polymerase
TIGR02389,135,DNA-dependent RNA polymerase,Transcription,Transcription::DNA-dependent RNA polymerase
TIGR02391,704,Domain,Hypothetical proteins,Hypothetical proteins::Domain
TIGR02392,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02392,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02393,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02394,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02394,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02395,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02396,157,General,Unknown function,Unknown function::General
TIGR02397,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR02400,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02401,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02402,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02404,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02405,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02406,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02407,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02414,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR02415,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR02416,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02417,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02418,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR02419,152,Prophage functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Prophage functions
TIGR02420,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR02420,264,Small molecule interactions,Regulatory functions,Regulatory functions::Small molecule interactions
TIGR02422,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02423,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02424,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02424,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02425,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02426,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02427,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02431,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR02432,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR02433,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR02435,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR02437,177,Degradation,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Degradation
TIGR02439,184,Other,Energy metabolism,Energy metabolism::Other
TIGR02440,177,Degradation,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Degradation
TIGR02444,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02445,177,Degradation,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Degradation
TIGR02446,177,Degradation,Fatty acid and phospholipid metabolism,Fatty acid and phospholipid metabolism::Degradation
TIGR02451,129,Other,Regulatory functions,Regulatory functions::Other
TIGR02454,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR02455,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02455,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR02456,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02457,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02463,157,General,Unknown function,Unknown function::General
TIGR02466,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR02469,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR02470,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02474,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02475,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR02476,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR02477,116,Glycolysis/gluconeogenesis,Energy metabolism,Energy metabolism::Glycolysis/gluconeogenesis
TIGR02480,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR02482,116,Glycolysis/gluconeogenesis,Energy metabolism,Energy metabolism::Glycolysis/gluconeogenesis
TIGR02483,116,Glycolysis/gluconeogenesis,Energy metabolism,Energy metabolism::Glycolysis/gluconeogenesis
TIGR02485,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR02487,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR02488,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR02490,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR02491,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR02491,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR02492,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR02493,110,Anaerobic,Energy metabolism,Energy metabolism::Anaerobic
TIGR02493,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR02495,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR02495,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR02497,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02497,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02498,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02499,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02499,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02500,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02500,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02501,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02502,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02502,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02503,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR02503,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02504,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR02505,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR02506,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR02508,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR02508,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02508,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02509,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02510,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR02515,91,Surface structures,Cell envelope,Cell envelope::Surface structures
TIGR02516,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02516,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02517,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02519,91,Surface structures,Cell envelope,Cell envelope::Surface structures
TIGR02520,91,Surface structures,Cell envelope,Cell envelope::Surface structures
TIGR02520,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02522,91,Surface structures,Cell envelope,Cell envelope::Surface structures
TIGR02523,91,Surface structures,Cell envelope,Cell envelope::Surface structures
TIGR02523,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR02525,186,Plasmid functions,Mobile and extrachromosomal element functions,Mobile and extrachromosomal element functions::Plasmid functions
TIGR02528,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR02530,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR02531,157,General,Unknown function,Unknown function::General
TIGR02532,91,Surface structures,Cell envelope,Cell envelope::Surface structures
TIGR02532,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02533,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02533,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02538,91,Surface structures,Cell envelope,Cell envelope::Surface structures
TIGR02538,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02543,157,General,Unknown function,Unknown function::General
TIGR02544,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02544,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR02546,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR02546,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
